DATE,SALES,CUMULATIVE_SALES_ALL,HOLIDAY,Year,Month,DayOfWeek,YearMonth,IPC_VALUE,A,FA,FM,C,CR
2015-01-01,1103.8679999999997,1103.8679999999997,False,2015,1,3,2015-01,-0.4,0,0,0,1521,0
2015-01-02,13170735.299999995,13171839.167999996,False,2015,1,4,2015-01,-0.4,1508,0,0,13,0
2015-01-03,16166557.826000003,29338396.994,False,2015,1,5,2015-01,-0.4,1521,0,0,0,0
2015-01-04,126725.73599999998,29465122.73,False,2015,1,6,2015-01,-0.4,0,10,0,1511,0
2015-01-05,17914975.340000004,47380098.07000001,False,2015,1,0,2015-01,-0.4,1520,0,0,1,0
2015-01-06,0.0,47380098.07000001,True,2015,1,1,2015-01,-0.4,0,0,0,1521,0
2015-01-07,13848645.295999996,61228743.366000004,False,2015,1,2,2015-01,-0.4,1519,0,0,2,0
2015-01-08,12357414.482,73586157.848,False,2015,1,3,2015-01,-0.4,1521,0,0,0,0
2015-01-09,14427741.756000005,88013899.604,False,2015,1,4,2015-01,-0.4,1521,0,0,1,0
2015-01-10,18306616.481999993,106320516.086,False,2015,1,5,2015-01,-0.4,1522,0,0,0,0
2015-01-11,72232.92599999998,106392749.012,False,2015,1,6,2015-01,-0.4,0,7,0,1515,0
2015-01-12,12383616.143999994,118776365.15599999,False,2015,1,0,2015-01,-0.4,1522,0,0,0,0
2015-01-13,10752825.25,129529190.40599999,False,2015,1,1,2015-01,-0.4,1522,0,0,0,0
2015-01-14,9937230.835999995,139466421.24199998,False,2015,1,2,2015-01,-0.4,1521,0,0,1,0
2015-01-15,10156075.088,149622496.32999998,False,2015,1,3,2015-01,-0.4,1522,0,0,0,0
2015-01-16,14210373.72999999,163832870.05999997,False,2015,1,4,2015-01,-0.4,1517,0,0,5,0
2015-01-17,17607052.231999993,181439922.29199997,False,2015,1,5,2015-01,-0.4,1510,0,2,10,0
2015-01-18,43712.87599999999,181483635.16799995,False,2015,1,6,2015-01,-0.4,0,2,0,1520,0
2015-01-19,11356332.139999991,192839967.30799994,False,2015,1,0,2015-01,-0.4,1521,0,0,1,0
2015-01-20,9776045.43,202616012.73799995,False,2015,1,1,2015-01,-0.4,1471,0,0,51,0
